"","aka","date","page_number","partof_title"
"481","http://www.loc.gov/resource/sn84024741/1773-09-23/ed-1/?sp=2","1773-09-23",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"482","http://www.loc.gov/resource/sn84024741/1774-05-19/ed-1/?sp=3","1774-05-19",3,"the virginia gazette (williamsburg, va.) 1766-1776"
"483","http://www.loc.gov/resource/sn84024741/1768-07-28/ed-1/?sp=2","1768-07-28",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"484","http://www.loc.gov/resource/sn84024741/1768-04-28/ed-1/?sp=1","1768-04-28",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"485","http://www.loc.gov/resource/sn84024739/1776-04-06/ed-1/?sp=3","1776-04-06",3,"the virginia gazette (williamsburg [va.]) 1736-1781"
"486","http://www.loc.gov/resource/sn84024739/1775-06-03/ed-1/?sp=1","1775-06-03",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"487","http://www.loc.gov/resource/sn84024741/1771-02-14/ed-1/?sp=2","1771-02-14",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"488","http://www.loc.gov/resource/sn84024741/1768-04-21/ed-1/?sp=1","1768-04-21",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"489","http://www.loc.gov/resource/sn84024741/1768-09-29/ed-1/?sp=1","1768-09-29",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"490","http://www.loc.gov/resource/sn83021194/1774-08-25/ed-1/?sp=1","1774-08-25",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"491","http://www.loc.gov/resource/sn83021194/1772-10-08/ed-1/?sp=2","1772-10-08",2,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"492","http://www.loc.gov/resource/sn83021194/1772-12-10/ed-1/?sp=2","1772-12-10",2,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"493","http://www.loc.gov/resource/sn83021194/1772-12-04/ed-1/?sp=2","1772-12-04",2,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"494","http://www.loc.gov/resource/sn83021194/1773-01-21/ed-1/?sp=3","1773-01-21",3,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"495","http://www.loc.gov/resource/sn83021194/1773-01-14/ed-1/?sp=3","1773-01-14",3,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"496","http://www.loc.gov/resource/sn83021194/1773-02-18/ed-1/?sp=2","1773-02-18",2,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"497","http://www.loc.gov/resource/sn83021194/1773-01-28/ed-1/?sp=1","1773-01-28",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"498","http://www.loc.gov/resource/sn83021193/1771-12-19/ed-1/?sp=2","1771-12-19",2,"the massachusetts spy (boston [mass.]) 1770-1772"
"499","http://www.loc.gov/resource/sn83021193/1772-02-13/ed-1/?sp=2","1772-02-13",2,"the massachusetts spy (boston [mass.]) 1770-1772"
"500","http://www.loc.gov/resource/sn83021193/1771-05-23/ed-1/?sp=2","1771-05-23",2,"the massachusetts spy (boston [mass.]) 1770-1772"
"501","http://www.loc.gov/resource/sn83021193/1772-07-23/ed-1/?sp=2","1772-07-23",2,"the massachusetts spy (boston [mass.]) 1770-1772"
"502","http://www.loc.gov/resource/sn83021194/1773-01-14/ed-1/?sp=2","1773-01-14",2,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"503","http://www.loc.gov/resource/sn83021194/1773-11-18/ed-1/?sp=3","1773-11-18",3,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"504","http://www.loc.gov/resource/sn83021193/1772-07-09/ed-1/?sp=2","1772-07-09",2,"the massachusetts spy (boston [mass.]) 1770-1772"
"505","http://www.loc.gov/resource/sn83025582/1775-07-11/ed-1/?sp=2","1775-07-11",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"506","http://www.loc.gov/resource/sn83025582/1770-06-08/ed-1/?sp=1","1770-06-08",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"507","http://www.loc.gov/resource/sn83025582/1774-12-16/ed-1/?sp=1","1774-12-16",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"508","http://www.loc.gov/resource/sn83025582/1774-10-14/ed-1/?sp=2","1774-10-14",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"509","http://www.loc.gov/resource/sn83025582/1775-01-13/ed-1/?sp=1","1775-01-13",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"510","http://www.loc.gov/resource/sn83025582/1775-05-05/ed-1/?sp=2","1775-05-05",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"511","http://www.loc.gov/resource/sn83025582/1770-03-23/ed-1/?sp=1","1770-03-23",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"512","http://www.loc.gov/resource/sn83025582/1774-09-30/ed-1/?sp=2","1774-09-30",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"513","http://www.loc.gov/resource/sn83025582/1770-04-20/ed-1/?sp=2","1770-04-20",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"514","http://www.loc.gov/resource/sn84024739/1774-06-02/ed-1/?sp=2","1774-06-02",2,"the virginia gazette (williamsburg [va.]) 1736-1781"
"515","http://www.loc.gov/resource/sn84024739/1775-03-18/ed-1/?sp=3","1775-03-18",3,"the virginia gazette (williamsburg [va.]) 1736-1781"
"516","http://www.loc.gov/resource/sn84024739/1776-05-04/ed-1/?sp=1","1776-05-04",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"517","http://www.loc.gov/resource/sn84024739/1768-08-25/ed-1/?sp=1","1768-08-25",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"518","http://www.loc.gov/resource/sn84024741/1774-12-15/ed-1/?sp=2","1774-12-15",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"519","http://www.loc.gov/resource/sn84024741/1768-09-29/ed-1/?sp=2","1768-09-29",2,"the virginia gazette (williamsburg, va.) 1766-1776"
